Date,Open,High,Low,Close,Adj Close,Volume
23/2/2010,10327.63965,10375.54981,10280.33008,10352.09961,10352.09961,121500000
24/2/2010,10205.15039,10243.2002,10129.65039,10198.83008,10198.83008,125200000
25/2/2010,10256.09961,10267.42969,10087.20996,10101.95996,10101.95996,128200000
26/2/2010,10107.08008,10171.21973,10085.12988,10126.03027,10126.03027,113200000
1/3/2010,10128.73047,10215.15039,10116.86035,10172.05957,10172.05957,108400000
2/3/2010,10199.19043,10238.95996,10150.29981,10221.83984,10221.83984,104000000
3/3/2010,10193.9502,10274.08984,10186.67969,10253.13965,10253.13965,120600000
4/3/2010,10255.69043,10263.48047,10134.37012,10145.71973,10145.71973,126300000
5/3/2010,10254.61035,10376.41016,10254.61035,10368.95996,10368.95996,129900000
8/3/2010,10538.12012,10586.96973,10514.28027,10585.91992,10585.91992,140500000
9/3/2010,10567.32031,10593.26953,10542.80957,10567.65039,10567.65039,110100000
10/3/2010,10555.84961,10588.69043,10547.33984,10563.91992,10563.91992,104800000
11/3/2010,10627.99023,10664.9502,10588.86035,10664.9502,10664.9502,123800000
12/3/2010,10777.49023,10777.49023,10699.29981,10751.25977,10751.25977,206600000
15/3/2010,10802.11035,10808.83984,10708.96973,10751.98047,10751.98047,130700000
16/3/2010,10718.62988,10776.51953,10716.2002,10721.70996,10721.70996,106600000
17/3/2010,10789.24023,10864.29981,10761.88965,10846.98047,10846.98047,137700000
18/3/2010,10841.70996,10845.73047,10731.66016,10744.03027,10744.03027,130200000
19/3/2010,10785.87988,10826.75977,10775.57031,10824.71973,10824.71973,116300000
23/3/2010,10793.04981,10817.78027,10766.65039,10774.15039,10774.15039,112500000
24/3/2010,10829.36035,10880.62012,10769.17969,10815.03027,10815.03027,125500000
25/3/2010,10857.80957,10872.4502,10808.70996,10828.84961,10828.84961,123600000
26/3/2010,10895.29004,11001.58984,10889.33008,10996.37012,10996.37012,142200000
29/3/2010,10909.98047,10990.75,10901.2002,10986.46973,10986.46973,144700000
